Protein Name,D8_KO1,D8_KO2,D8_KO3,D8_KO4,D8_WT_1,D8_WT_3,D8_WT_4,D8_WT_5
PDIA4_MOUSE,0.276070301,0.115158949,0.024464435,0.142786471,-0.131988102,-0.257819223,-0.007593415,-0.244445808
PPIB_MOUSE,-0.165182065,-0.414979064,-0.568894592,-0.474280025,-0.655423391,-0.862920252,-0.665083061,-0.639909788
TITIN_MOUSE,0.936106271,0.855418483,0.692311983,0.808051117,0.578348294,0.495717942,0.49876592,0.523069895
HNRPC_MOUSE,0.104177381,-0.056108594,-0.11574525,-0.097289241,-0.279891505,-0.380648524,-0.353019453,-0.347309752
CALU_MOUSE,-0.972690842,-1.143345259,-1.295141271,-1.213673622,-1.430846227,-1.525036507,-1.35794302,-1.502971526
RANG_MOUSE,-0.048064092,-0.191351836,-0.384072604,-0.290238458,-0.54778037,-0.558752922,-0.50219831,-0.492052151
PRDX1_MOUSE,0.584569745,0.322403385,0.160208722,0.230405623,0.051773937,-0.042773026,0.142748791,-0.040964745
EF1G_MOUSE,-0.063880199,-0.225562175,-0.374435694,-0.398593084,-0.578440842,-0.585518729,-0.545516235,-0.536040416
ACTN4_MOUSE,0.345699951,0.296542789,0.087528686,0.083030685,-0.088779818,-0.102342202,-0.131683375,-0.046324101
LDHB_MOUSE,-0.400119939,-0.449122514,-0.66703698,-0.392325026,-0.679979404,-0.750176434,-0.771987493,-0.88447885
MOES_MOUSE,0.633983031,0.49999179,0.429102479,0.45054778,0.203354764,0.159228388,0.188766468,0.284428004
CYB5B_MOUSE,-0.781071553,-0.875991121,-0.86023631,-0.805547151,-1.062444941,-1.189224023,-1.088918815,-1.157470196
AMPL_MOUSE,-0.390725081,-0.353220461,-0.533254694,-0.406223137,-0.580269175,-0.787396203,-0.695324344,-0.795587648
ALDR_MOUSE,-0.692504663,-0.639423381,-0.868900865,-0.649263938,-0.961709761,-1.126057602,-1.018824034,-0.913437362
TADBP_MOUSE,-0.70717277,-0.762272423,-0.879007871,-0.836171237,-0.998834527,-1.136443841,-1.104275974,-1.10912529
QCR2_MOUSE,-0.491255987,-0.743927224,-0.732439242,-0.640936473,-0.841730292,-0.973904423,-1.005281994,-0.948504758
A1AT1_MOUSE,0.521704055,0.480844917,0.315492399,0.351253425,0.189495688,0.057816126,0.068894902,0.192433833
EZRI_MOUSE,0.688987344,0.507127147,0.406494385,0.44277965,0.203354764,0.199569052,0.190622285,0.291710632
RRBP1_MOUSE,-0.022164506,-0.064023316,-0.156254818,-0.098100888,-0.301296592,-0.466354165,-0.313383875,-0.415366202
ML12B_MOUSE,0.785530232,0.77261323,0.604064557,0.660197188,0.354407581,0.328554526,0.491870179,0.492428356
PININ_MOUSE,-0.778916038,-0.782041476,-0.740234113,-0.83359225,-0.985861152,-1.097004387,-1.11300694,-1.093262826
A1AT3_MOUSE,0.510491231,0.484823881,0.315492399,0.351253425,0.189495688,0.057816126,0.068894902,0.192433833
TR150_MOUSE,-0.717527465,-0.726398563,-0.872783988,-0.775593445,,-0.92801025,-1.012291853,-1.240199651
AN32B_MOUSE,-0.273166073,-0.079443614,-0.467661091,-0.355164167,,-0.686446155,-0.543995654,-0.511611236
CLH1_MOUSE,0.473677655,0.327687006,0.282210347,0.285878384,0.038861986,0.062088884,0.007155689,0.114533852
IF4A1_MOUSE,-1.085531048,-1.06333163,-1.045449533,-1.157196023,-1.407138338,-1.464672263,-1.318877779,-1.29999852
CLCA_MOUSE,-0.704630834,-0.7837704,-0.900762175,-0.812776315,-1.002143909,-1.105894749,-1.063297173,-1.160214035
SYAC_MOUSE,,-1.014239652,-1.035423872,-1.035872036,-1.135730668,-1.34252178,-1.289043916,-1.466540471
PGK2_MOUSE,-0.1863338,-0.399183367,-0.594748904,-0.454529235,-0.591805913,-0.808416619,-0.732150635,-0.620561222
DPYL3_MOUSE,-0.717086155,-0.770235044,-0.926944122,-0.792191349,-1.055201809,-1.173332948,-1.026281527,-1.063853915
CO3_MOUSE,0.029076211,-0.15317186,-0.180563129,-0.202412386,-0.356298707,-0.435833403,-0.334544687,-0.47488185
TPM4_MOUSE,0.847971788,0.766292891,0.583345731,0.668919126,0.509923508,0.418146412,0.53673976,0.308522026
PARK7_MOUSE,-0.354248698,-0.443399661,-0.576794196,-0.500385671,-0.707786331,-0.708032293,-0.780321243,-0.771657256
IF4A2_MOUSE,-1.097063923,-1.058373285,-1.035593792,-1.183632533,-1.426064955,-1.433920295,-1.409644244,-1.197576046
