Mass_Tag_ID,Ref_ID,Reference
6960935,19572,IPI:IPI00025416.1
6960935,19531,IPI:IPI00021440.1
6960935,19530,IPI:IPI00021439.1
6960935,19529,IPI:IPI00021428.1
6960935,19401,IPI:IPI00008603.1
6960935,19339,IPI:IPI00003269.1
6960935,20891,IPI:IPI00514530.3
6962171,22325,IPI:IPI00465248.4
6962223,28799,IPI:IPI00012011.3
6962223,29025,IPI:IPI00413344.2
6962302,2570,IPI:IPI00003865.1
6962302,2720,IPI:IPI00007702.1
6962302,19214,IPI:IPI00514377.3
6962302,18240,IPI:IPI00304925.1
6962302,13211,IPI:IPI00301277.1
6962302,2553,IPI:IPI00003362.1
6962302,45679,IPI:IPI00457325.1
6962302,35428,IPI:IPI00397340.2
6962302,21665,IPI:IPI00258514.3
6962302,12368,IPI:IPI00037070.1
6962317,2958,IPI:IPI00014230.1
6962343,34980,IPI:IPI00025252.1
6962345,9975,IPI:IPI00303476.1
6962346,12853,IPI:IPI00216318.4
6962378,29876,IPI:IPI00020599.1
6962431,2389,IPI:IPI00550984.1
6962431,2836,IPI:IPI00010796.1
6962431,6621,IPI:IPI00414286.3
6963089,22264,IPI:IPI00455552.1
6963089,58183,IPI:IPI00248359.3
6963089,56286,IPI:IPI00401614.1
6963089,55056,IPI:IPI00385560.1
6963089,54125,IPI:IPI00334610.1
6963089,51173,IPI:IPI00157721.4
6963089,50206,IPI:IPI00024323.4
6963089,59552,IPI:IPI00397206.1
6963089,25569,IPI:IPI00333470.1
6963089,21413,IPI:IPI00157721.7
6963089,20939,IPI:IPI00550724.2
6963089,20909,IPI:IPI00515047.1
6963089,20502,IPI:IPI00414057.2
6963089,20039,IPI:IPI00248359.4
6963089,19545,IPI:IPI00023006.1
6963089,19531,IPI:IPI00021440.1
6963089,19530,IPI:IPI00021439.1
6963089,19529,IPI:IPI00021428.1
6963089,37749,IPI:IPI00334610.2
6963089,22029,IPI:IPI00401614.2
6963762,52596,IPI:IPI00220327.1
6964216,34980,IPI:IPI00025252.1
6964351,15524,IPI:IPI00186290.5
6964368,18577,IPI:IPI00398950.2
6964368,7076,IPI:IPI00455628.1
6964368,20867,IPI:IPI00513808.1
6964368,25086,IPI:IPI00014424.1
6964368,25143,IPI:IPI00025447.3
6964368,25360,IPI:IPI00180730.1
6964368,25988,IPI:IPI00472724.1
6964437,2570,IPI:IPI00003865.1
6964437,12368,IPI:IPI00037070.1
6964632,19530,IPI:IPI00021439.1
6964632,20939,IPI:IPI00550724.2
6964632,19531,IPI:IPI00021440.1
6964781,250,IPI:IPI00009328.2
6964781,3326,IPI:IPI00025491.1
6964781,10053,IPI:IPI00328328.3
6964781,10630,IPI:IPI00409717.1
6965956,907,IPI:IPI00216746.1
6965956,2293,IPI:IPI00514561.1
6965956,891,IPI:IPI00216049.1
6966154,30296,IPI:IPI00332588.4
6966154,26118,IPI:IPI00550909.2
6966154,25299,IPI:IPI00164540.6
6966154,25572,IPI:IPI00333662.3
6966154,20638,IPI:IPI00450768.4
6966154,19149,IPI:IPI00479007.1
